date,myor,aggregate_volume
2022-12-09,2.75,38700.35
2022-12-12,2.75,37844.81
2022-12-13,2.75,36781.13
2022-12-14,2.75,35759.12
2022-12-15,2.75,36090.6
2022-12-16,2.75,35458.51
2022-12-19,2.75,36125.16
2022-12-20,2.75,34952.49
2022-12-21,2.75,31277.16
2022-12-22,2.74,32429.25
2022-12-23,2.73,37581.26
2022-12-27,2.75,38429.95
2022-12-28,2.75,37081.08
2022-12-29,2.75,35364.42
2022-12-30,2.74,35031.01
2023-01-03,2.74,34938.88
2023-01-04,2.74,38357.06
2023-01-05,2.74,39985.95
2023-01-06,2.75,33938.15
2023-01-09,2.72,34973.78
2023-01-10,2.74,34320.92
2023-01-11,2.75,31934.31
2023-01-12,2.73,36399.88
2023-01-13,2.72,39685.58
2023-01-16,2.74,37924.25
2023-01-17,2.73,46875.6
2023-01-18,2.74,46658.95
2023-01-19,2.75,46811.6
2023-01-20,2.73,45492.69
2023-01-25,2.75,46311.1
2023-01-26,2.74,47855.72
2023-01-27,2.74,35091.72
2023-01-30,2.74,30684.9
2023-01-31,2.72,31835.94
2023-02-02,2.72,30386.91
2023-02-03,2.71,31471.9
2023-02-07,2.75,28371.1
2023-02-08,2.74,28121.6
2023-02-09,2.73,29214.92
2023-02-10,2.75,30723.71
2023-02-13,2.73,29851.93
2023-02-14,2.75,27809.14
2023-02-15,2.73,28984.93
2023-02-16,2.73,30134.65
2023-02-17,2.75,33121.65
2023-02-20,2.74,32159.64
2023-02-21,2.75,32676.64
2023-02-22,2.75,35214.81
2023-02-23,2.75,32410.73
2023-02-24,2.74,32638.28
2023-02-27,2.74,31296.93
2023-02-28,2.75,23479.35
2023-03-01,2.73,32125.37
2023-03-02,2.75,29707.35
2023-03-03,2.75,29217.45
2023-03-06,2.75,25200.92
2023-03-07,2.75,25286.25
2023-03-08,2.72,23469.18
2023-03-09,2.75,28346.94
2023-03-10,2.74,23661.86
2023-03-13,2.74,22133.19
2023-03-14,2.75,19040.59
2023-03-15,2.75,18555.12
2023-03-16,2.72,19111.0
2023-03-17,2.75,22427.71
2023-03-20,2.72,23774.54
2023-03-21,2.75,22012.37
2023-03-22,2.75,24810.48
2023-03-23,2.75,26001.42
2023-03-24,2.75,23450.87
2023-03-27,2.72,28123.17
2023-03-28,2.75,28221.42
2023-03-29,2.75,27931.6
2023-03-30,2.72,32101.1
2023-03-31,2.75,30863.12
2023-04-03,2.75,28858.96
2023-04-04,2.72,30908.24
2023-04-05,2.74,31151.93
2023-04-06,2.74,30405.04
2023-04-07,2.75,30057.79
2023-04-10,2.75,28804.75
2023-04-11,2.75,23484.38
2023-04-12,2.75,24659.32
2023-04-13,2.75,22302.45
2023-04-14,2.71,21043.49
2023-04-17,2.75,22567.0
2023-04-18,2.75,20312.96
2023-04-19,2.71,20772.12
2023-04-20,2.74,17859.84
2023-04-25,2.75,17269.15
2023-04-26,2.74,19886.4
2023-04-27,2.71,23309.83
2023-04-28,2.75,18072.84
2023-05-02,2.72,20154.34
2023-05-03,2.99,19192.9
2023-05-05,2.96,21143.73
2023-05-08,2.99,21171.55
2023-05-09,2.97,20420.79
2023-05-10,2.95,19781.36
2023-05-11,2.96,20951.21
2023-05-12,3.0,18348.31
2023-05-15,2.96,23140.12
2023-05-16,2.98,23200.95
2023-05-17,3.0,26012.18
2023-05-18,3.0,25907.94
2023-05-19,3.0,23443.45
2023-05-22,3.0,23207.89
2023-05-23,3.0,23977.42
2023-05-24,2.96,22800.89
2023-05-25,3.0,23709.87
2023-05-26,2.96,22511.74
2023-05-29,3.0,23117.78
2023-05-30,3.0,22349.22
2023-05-31,2.96,25908.61
2023-06-01,2.98,32130.02
2023-06-02,2.98,32565.79
2023-06-06,2.97,32191.04
2023-06-07,2.97,34936.22
2023-06-08,3.0,32975.9
2023-06-09,2.97,32788.1
2023-06-12,3.0,31503.8
2023-06-13,3.0,30014.42
2023-06-14,2.97,31117.96
2023-06-15,3.0,30871.29
2023-06-16,3.0,28668.72
2023-06-19,3.0,27904.55
2023-06-20,3.0,26248.42
2023-06-21,3.0,27260.42
2023-06-22,2.96,28542.06
2023-06-23,3.0,27235.49
2023-06-26,3.0,25818.35
2023-06-27,3.0,27646.06
2023-06-28,3.0,24160.29
2023-06-30,3.0,28755.71
2023-07-03,3.0,25432.79
2023-07-04,3.0,23083.28
2023-07-05,3.02,17267.22
2023-07-06,3.0,23139.24
2023-07-07,3.01,26501.54
2023-07-10,3.0,24689.95
2023-07-11,2.99,28819.71
2023-07-12,3.0,24746.57
2023-07-13,3.0,24278.06
2023-07-14,3.0,26547.9
2023-07-17,2.99,23739.42
2023-07-18,2.98,25291.98
2023-07-20,3.0,26201.83
2023-07-21,3.0,26474.12
2023-07-24,3.0,28209.1
2023-07-25,3.0,26275.5
2023-07-26,3.0,27195.97
2023-07-27,3.0,24920.24
2023-07-28,3.0,23282.41
2023-07-31,3.0,27906.85
2023-08-01,3.0,26496.05
2023-08-02,3.0,22030.84
2023-08-03,3.0,23064.61
2023-08-04,2.99,24126.35
2023-08-07,3.0,23690.57
2023-08-08,3.0,19831.44
2023-08-09,3.0,21696.11
2023-08-10,3.0,22503.32
2023-08-11,3.0,20585.4
2023-08-14,3.0,17593.01
2023-08-15,3.0,18565.75
2023-08-16,3.0,17491.5
2023-08-17,3.0,17148.43
2023-08-18,3.0,15325.33
2023-08-21,2.98,19496.91
2023-08-22,2.98,20153.33
2023-08-23,3.0,21417.16
2023-08-24,3.0,24147.26
2023-08-25,2.98,23032.81
2023-08-28,3.0,22443.32
2023-08-29,2.97,23573.08
2023-08-30,3.0,19333.59
2023-09-01,3.0,22715.03
2023-09-04,3.0,20390.02
2023-09-05,2.97,22836.33
2023-09-06,2.99,24118.37
2023-09-07,3.0,24033.36
2023-09-08,3.0,25093.4
2023-09-11,3.0,22293.01
2023-09-12,3.0,20149.82
2023-09-13,3.0,18380.45
2023-09-14,3.0,21124.56
2023-09-15,3.0,22188.45
2023-09-18,3.0,20139.76
2023-09-19,3.01,20713.58
2023-09-20,3.01,18732.96
2023-09-21,3.01,19466.29
2023-09-22,2.97,19348.32
2023-09-25,3.01,22690.39
2023-09-26,3.01,20865.35
2023-09-27,3.01,19647.0
2023-09-29,2.97,22752.97
2023-10-02,2.97,28080.86
2023-10-03,3.0,26666.41
2023-10-04,2.96,27488.87
2023-10-05,3.0,27447.1
2023-10-06,3.0,21393.65
2023-10-09,2.96,22016.65
2023-10-10,2.98,21396.45
2023-10-11,3.0,21213.75
2023-10-12,3.0,21506.22
2023-10-13,2.98,22984.83
2023-10-16,2.97,25202.93
2023-10-17,3.0,21794.2
2023-10-18,3.0,19267.86
2023-10-19,2.98,21060.3
2023-10-20,3.0,18333.94
2023-10-23,3.0,19452.06
2023-10-24,3.0,19542.65
2023-10-25,3.0,18692.33
2023-10-26,3.0,18809.17
2023-10-27,2.98,20043.7
2023-10-30,3.0,18182.01
2023-10-31,3.0,21185.7
2023-11-01,2.98,23767.01
2023-11-02,3.0,28776.89
2023-11-03,2.99,24134.25
2023-11-06,2.98,24792.58
2023-11-07,3.0,24481.48
2023-11-08,2.97,23450.1
2023-11-09,2.99,24192.05
2023-11-10,3.0,24839.63
2023-11-14,3.0,24162.02
2023-11-15,3.0,24787.64
2023-11-16,3.0,24114.92
2023-11-17,3.0,21605.94
2023-11-20,3.0,26440.3
2023-11-21,3.0,26311.05
2023-11-22,3.0,29145.02
2023-11-23,3.0,29945.48
2023-11-24,3.0,31127.85
2023-11-27,3.0,27688.91
2023-11-28,3.0,28080.98
2023-11-29,3.0,27729.82
2023-11-30,3.0,32555.46
2023-12-01,3.0,34045.28
2023-12-04,3.0,32118.79
2023-12-05,3.0,32864.76
2023-12-06,3.0,32610.48
2023-12-07,3.0,29717.48
2023-12-08,3.0,31143.16
2023-12-11,3.0,29930.24
2023-12-12,3.0,32790.93
2023-12-13,3.0,32116.33
2023-12-14,3.0,31713.37
2023-12-15,2.99,34069.9
2023-12-18,3.0,33920.35
2023-12-19,3.0,32763.64
2023-12-20,3.0,30123.36
2023-12-21,3.0,29332.55
2023-12-22,3.0,24180.65
2023-12-26,3.0,26513.31
2023-12-27,3.0,29155.33
2023-12-28,3.0,32929.8
2023-12-29,3.0,36077.37
2024-01-02,3.0,34453.6
2024-01-03,3.0,33543.99
2024-01-04,3.0,35000.06
2024-01-05,3.0,30979.51
2024-01-08,3.0,35662.63
2024-01-09,3.0,34696.28
2024-01-10,3.0,35297.67
2024-01-11,3.0,35929.2
2024-01-12,3.0,28436.0
2024-01-15,3.0,25101.26
2024-01-16,3.0,28637.16
2024-01-17,3.0,30094.21
2024-01-18,3.0,25608.51
2024-01-19,3.0,25680.04
2024-01-22,3.0,27531.71
2024-01-23,3.0,28531.95
2024-01-24,3.0,28090.08
2024-01-26,3.0,29435.69
2024-01-29,2.99,30858.7
2024-01-30,3.0,29859.33
2024-01-31,2.99,32294.46
2024-02-02,3.0,30832.61
2024-02-05,3.0,28619.45
2024-02-06,3.0,25959.52
2024-02-07,3.0,24447.05
2024-02-08,3.0,23565.48
2024-02-09,3.0,21893.34
2024-02-13,3.0,22610.64
2024-02-14,3.0,23096.08
2024-02-15,3.0,20950.69
2024-02-16,2.99,25167.27
2024-02-19,3.0,24710.17
2024-02-20,3.0,20357.94
2024-02-21,3.0,25261.67
2024-02-22,3.0,25288.44
2024-02-23,3.0,24105.17
2024-02-26,3.0,25991.25
2024-02-27,3.0,28897.31
2024-02-28,2.99,23410.17
2024-02-29,2.99,20139.5
2024-03-01,3.0,21650.94
2024-03-04,2.99,20986.79
2024-03-05,3.0,21266.88
2024-03-06,3.0,21488.55
2024-03-07,3.0,22367.17
2024-03-08,3.0,22988.67
2024-03-11,3.0,18933.35
2024-03-12,3.0,16831.29
2024-03-13,3.0,20214.18
2024-03-14,3.0,19983.24
2024-03-15,3.0,21406.23
2024-03-18,3.0,20636.09
2024-03-19,3.0,19795.85
2024-03-20,3.0,19681.64
2024-03-21,3.0,22715.82
2024-03-22,3.0,20106.34
2024-03-25,3.0,21150.98
2024-03-26,3.0,22085.71
2024-03-27,2.99,27809.81
2024-03-29,3.0,23773.24
2024-04-01,3.0,27360.49
2024-04-02,3.0,24495.83
2024-04-03,3.0,25831.99
2024-04-04,3.0,24674.03
2024-04-05,3.0,24993.11
2024-04-08,3.0,20038.86
2024-04-09,3.0,21104.03
2024-04-12,3.0,19328.73
2024-04-15,3.0,18576.83
2024-04-16,3.0,17255.46
2024-04-17,3.0,16775.92
2024-04-18,3.0,17868.4
2024-04-19,3.0,16921.78
2024-04-22,3.0,17314.08
2024-04-23,3.0,19536.75
2024-04-24,3.0,17795.01
2024-04-25,3.0,17946.01
2024-04-26,3.0,18923.58
2024-04-29,3.0,18174.55
2024-04-30,3.0,19601.79
2024-05-02,3.0,22255.31
2024-05-03,3.0,19641.94
2024-05-06,3.0,19214.01
2024-05-07,3.0,18979.33
2024-05-08,3.0,21731.9
2024-05-09,3.0,21509.07
2024-05-10,3.0,20074.28
2024-05-13,3.0,20346.11
2024-05-14,3.0,20495.21
2024-05-15,3.0,19459.17
2024-05-16,3.0,17373.68
2024-05-17,3.0,21823.04
2024-05-20,3.0,24705.71
2024-05-21,3.0,23367.1
2024-05-23,3.0,22990.91
2024-05-24,3.0,26608.08
2024-05-27,3.0,25100.71
2024-05-28,3.0,24700.63
2024-05-29,3.0,24142.25
2024-05-30,3.0,21219.69
2024-05-31,3.0,23084.9
2024-06-04,3.0,22548.97
2024-06-05,3.0,22558.68
2024-06-06,3.0,23040.87
2024-06-07,3.0,23633.18
2024-06-10,3.01,21949.92
2024-06-11,3.01,19786.05
2024-06-12,3.01,21325.1
2024-06-13,3.02,16442.46
2024-06-14,3.01,17616.14
2024-06-18,3.02,16945.67
2024-06-19,3.02,19031.32
2024-06-20,3.02,18352.86
2024-06-21,3.01,18790.59
2024-06-24,3.02,19138.26
2024-06-25,3.0,21329.36
2024-06-26,3.0,20888.95
2024-06-27,3.0,23144.7
2024-06-28,3.0,25640.79
2024-07-01,3.0,27410.98
2024-07-02,3.0,25600.38
2024-07-03,3.0,24746.49
2024-07-04,3.0,24805.53
2024-07-05,3.0,22623.44
2024-07-09,3.0,24367.92
2024-07-10,3.0,26787.85
2024-07-11,3.0,22716.06
2024-07-12,3.0,24362.32
2024-07-15,3.0,21039.46
2024-07-16,3.0,22542.87
2024-07-17,3.0,24844.61
2024-07-18,3.0,24119.88
2024-07-19,3.0,25146.21
2024-07-22,3.0,25235.2
2024-07-23,3.0,23631.21
2024-07-24,3.0,27833.26
2024-07-25,3.0,23813.1
2024-07-26,3.0,23722.13
2024-07-29,3.0,23868.28
2024-07-30,3.0,23247.11
2024-07-31,3.0,26616.81
2024-08-01,3.0,27247.04
2024-08-02,3.0,25141.95
2024-08-05,3.0,25510.44
2024-08-06,3.0,24659.98
2024-08-07,3.0,23745.52
2024-08-08,3.0,22221.86
2024-08-09,3.0,26481.91
2024-08-12,3.0,23611.45
2024-08-13,3.0,23531.19
2024-08-14,3.0,25314.13
2024-08-15,3.0,23716.14
2024-08-16,3.0,25760.34
2024-08-19,3.0,24940.16
2024-08-20,3.01,21140.15
2024-08-21,3.01,22543.11
2024-08-22,3.01,20885.66
2024-08-23,3.01,23331.12
2024-08-26,3.01,24623.72
2024-08-27,3.01,22225.92
2024-08-28,3.0,24722.51
2024-08-29,3.01,21054.21
2024-08-30,3.01,24977.17
2024-09-02,3.0,24842.23
2024-09-03,3.0,27746.94
2024-09-04,3.0,28024.71
2024-09-05,3.0,25733.41
2024-09-06,3.0,25822.01
2024-09-09,3.0,26958.08
2024-09-10,3.0,24762.76
2024-09-11,3.0,25157.44
2024-09-12,3.0,26614.58
2024-09-13,3.0,27407.24
2024-09-17,3.0,29724.65
2024-09-18,3.0,29181.22
2024-09-19,3.0,23827.95
2024-09-20,3.0,22846.49
2024-09-23,3.0,21273.63
2024-09-24,3.0,22042.2
2024-09-25,3.01,19024.94
